ID	Bifidobacterium adolescentis	Bifidobacterium bifidum	Bifidobacterium longum	Bifidobacterium pseudocatenulatum	Collinsella aerofaciens	Bacteroides caccae	Bacteroides cellulosilyticus	Bacteroides dorei	Bacteroides eggerthii	Bacteroides faecis	Bacteroides finegoldii	Bacteroides fragilis	Bacteroides intestinalis	Bacteroides massiliensis	Bacteroides ovatus	Bacteroides salyersiae	Bacteroides stercoris	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides xylanisolvens	Bacteroidales bacterium ph8	Barnesiella intestinihominis	Coprobacter fastidiosus	Odoribacter splanchnicus	Parabacteroides distasonis	Parabacteroides goldsteinii	Parabacteroides merdae	Parabacteroides unclassified	Paraprevotella clara	Paraprevotella unclassified	Prevotella copri	Alistipes finegoldii	Alistipes onderdonkii	Alistipes putredinis	Alistipes shahii	Alistipes unclassified	Streptococcus salivarius	Clostridium bolteae	Clostridium citroniae	Clostridium clostridioforme	Clostridium hathewayi	Clostridium leptum	Clostridium nexile	Clostridium symbiosum	Flavonifractor plautii	Eubacterium eligens	Eubacterium hallii	Eubacterium rectale	Eubacterium siraeum	Eubacterium sp 3 1 31	Eubacterium ventriosum	Ruminococcus gnavus	Ruminococcus obeum	Ruminococcus torques	Coprococcus comes	Dorea longicatena	Lachnospiraceae bacterium 1 1 57FAA	Lachnospiraceae bacterium 3 1 46FAA	Roseburia hominis	Roseburia intestinalis	Roseburia inulinivorans	Roseburia unclassified	Oscillibacter unclassified	Peptostreptococcaceae noname unclassified	Faecalibacterium prausnitzii	Ruminococcus bromii	Ruminococcus callidus	Ruminococcus lactaris	Subdoligranulum unclassified	Coprobacillus unclassified	Acidaminococcus unclassified	Dialister invisus	Veillonella atypica	Veillonella dispar	Veillonella parvula	Veillonella unclassified	Burkholderiales bacterium 1 1 47	Parasutterella excrementihominis	Sutterella wadsworthensis	Bilophila unclassified	Escherichia coli	Escherichia unclassified	Klebsiella pneumoniae	Haemophilus parainfluenzae	Akkermansia muciniphila	C2likevirus unclassified
CSM5MCXB_P	25717	415	233	0	2297	6410	0	71	1504	0	142	10960	0	496	7834	0	123417	13647	38901	15657	2215	0	0	0	0	145	0	516	1529	0	0	459	525	4160	3253	15002	0	313	407	0	275	47	931	0	184	127	25809	792	4483	0	0	323	3714	9351	12089	39	641	20623	10129	583	18285	81	0	4913	0	45510	406	703	29314	12039	0	0	9913	1157	4348	3066	9723	2464	2272	0	863	14293	0	0	4138	270	1134
CSM67U9T_P	6	0	4115	0	0	53652	46185	79038	0	0	404	32	98	427	274767	0	1347	46140	102772	1462	12964	0	0	0	0	52990	0	107	117839	0	27	2249	0	0	149	0	0	10	2222	37	2946	458	22067	0	775	1794	0	0	533	0	0	0	0	9565	8473	0	3182	0	1097	0	0	4429	0	10958	0	544	0	0	0	10265	1854	0	12571	0	0	98	364	0	0	100	0	255	475	0	327	1318	0
CSM67U9X_P	219	4	296	0	997	34543	722	917	266	73	78592	117	131	53448	6820	2201	227928	5974	16468	151878	10308	0	83	701	3416	22342	0	3485	1470	0	0	3769	501	5244	34138	6625	0	0	192	0	0	14	664	0	0	1679	7700	2075	80418	1535	0	0	130	675	4770	1993	2146	0	0	488	241	2896	665	6638	0	32215	0	0	15349	12607	0	2033	10764	0	0	837	287	1085	398	31853	555	995	1020	0	0	206	0
PSM6XBQM_P	0	0	0	36	82	10221	1200	7253	0	9256	0	0	0	54579	1990	0	156	981	16840	41114	0	0	0	0	0	2728	0	0	6776	0	0	198	999	1350	2671	955	0	110	0	0	0	0	19	0	0	0	0	0	1548	0	0	0	0	46	1029	138	0	214	174	0	0	874	0	374	0	71862	0	0	0	4698	0	0	143	5274	187	2038	11692	0	0	11134	886	0	0	1852	3133	20	0
PSM6XBSG_P	0	0	287	0	0	54641	1325	6843	215	0	996	3469	0	3685	29967	0	11333	32226	10341	61258	7663	0	0	0	0	6900	0	146	9323	0	116	57896	0	350	1379	0	0	0	250	0	0	0	0	801	0	0	2116	259	11398	2823	0	0	854	200	1022	0	0	0	1273	3615	1619	2187	0	3169	0	51914	0	0	0	2994	0	0	172	0	119	538	1863	0	0	0	0	378	39	0	1006	0	0
MSM6J2RG_P	0	0	9	0	0	0	0	1844	0	22081	0	0	0	259745	42303	0	3	28	107204	2351	7274	0	0	0	0	0	0	9215	0	0	0	33	1586	19626	0	0	0	0	15587	580	1599	2705	0	0	17017	0	0	0	0	0	0	0	0	0	13026	601	47	0	1675	1037	0	0	0	0	0	196483	0	0	0	200768	0	0	11850	1190	20	6212	913	0	0	0	0	31	21	0	98	0	0
ESM7F5AE_P	47	35	3232	626	225	20687	6439	28127	918	3008	2250	2863	16	6843	37637	710	20224	8468	43920	25382	6078	0	11044	18	4263	32886	0	962	9555	988	2789	174124	1496	1748	18336	3411	0	0	411	26	0	92	5685	0	74	494	349	717	7890	1295	0	419	1001	2166	803	594	842	0	821	48	1033	1568	409	6225	0	24895	0	0	575	22895	251	173	2817	0	0	58	120	6	0	7947	457	169	158	0	639	1219	58
CSM79HJI_P	745	469	340	0	227	23945	123	6026	15277	3593	261	201338	0	780	5234	0	48637	7556	19664	54356	865	582	176	0	3428	26930	0	2474	4295	0	37	50263	4037	15513	29855	802	0	8	37574	0	0	363	3492	245	65	291	193	1043	1272	898	0	380	20001	280	5511	167	9697	0	1780	983	8495	67	1035	4826	0	37514	360	0	73	7589	0	307	13650	0	0	191	0	290	412	0	1976	213812	5332	0	92	1991	0
CSM79HNY_P	0	0	0	0	0	2377	0	0	125	0	0	0	13089	0	17073	0	28	51	58525	26513	0	0	0	0	0	128	0	10483	0	0	0	344	0	0	0	0	2	0	9059	0	0	0	54	0	0	0	1162	0	17180	7175	0	0	0	2871	494	292	179	0	0	261	0	396	0	1544	0	9286	0	0	1447	1614	0	6617	77	0	0	0	0	91	7	0	0	0	0	0	0	7001	0
PSM6XBW1_P	0	0	3277	1473	0	19905	0	5766	443	5963	840	6340	0	1015	9017	564	2986	1775	29389	17047	210	0	29723	0	11446	604	0	155	20561	2165	6045	329709	3252	3312	52638	10738	0	0	145	48	0	24	6544	0	143	111	29	1767	7342	717	0	81	2910	960	2050	599	522	0	1040	160	668	2109	0	0	0	48816	0	0	1279	62346	0	2	0	0	0	186	52	0	0	21724	928	0	0	0	664	250	31
